# Vin Vd Vin Id

1.150000e+00 5.264851e-01 1.150000e+00 6.235149e-03 
1.160000e+00 5.276557e-01 1.160000e+00 6.323443e-03 
1.170000e+00 5.288250e-01 1.170000e+00 6.411750e-03 
1.180000e+00 5.299928e-01 1.180000e+00 6.500072e-03 
1.190000e+00 5.311593e-01 1.190000e+00 6.588407e-03 
1.200000e+00 5.323244e-01 1.200000e+00 6.676756e-03 
1.210000e+00 5.334882e-01 1.210000e+00 6.765118e-03 
1.220000e+00 5.346506e-01 1.220000e+00 6.853494e-03 
1.230000e+00 5.358117e-01 1.230000e+00 6.941883e-03 
1.240000e+00 5.369716e-01 1.240000e+00 7.030284e-03 
1.250000e+00 5.381301e-01 1.250000e+00 7.118699e-03 
1.260000e+00 5.392874e-01 1.260000e+00 7.207126e-03 
1.270000e+00 5.404433e-01 1.270000e+00 7.295567e-03 
1.280000e+00 5.415981e-01 1.280000e+00 7.384019e-03 
1.290000e+00 5.427516e-01 1.290000e+00 7.472484e-03 
1.300000e+00 5.439039e-01 1.300000e+00 7.560961e-03 
1.310000e+00 5.450549e-01 1.310000e+00 7.649451e-03 
1.320000e+00 5.462048e-01 1.320000e+00 7.737952e-03 
1.330000e+00 5.473534e-01 1.330000e+00 7.826466e-03 
1.340000e+00 5.485009e-01 1.340000e+00 7.914991e-03 
1.350000e+00 5.496472e-01 1.350000e+00 8.003528e-03 
1.360000e+00 5.507924e-01 1.360000e+00 8.092076e-03 
1.370000e+00 5.519364e-01 1.370000e+00 8.180636e-03 
1.380000e+00 5.530793e-01 1.380000e+00 8.269207e-03 
1.390000e+00 5.542210e-01 1.390000e+00 8.357790e-03 
1.400000e+00 5.553617e-01 1.400000e+00 8.446383e-03 
1.410000e+00 5.565012e-01 1.410000e+00 8.534988e-03 
1.420000e+00 5.576396e-01 1.420000e+00 8.623604e-03 
1.430000e+00 5.587770e-01 1.430000e+00 8.712230e-03 
1.440000e+00 5.599133e-01 1.440000e+00 8.800867e-03 
1.450000e+00 5.610485e-01 1.450000e+00 8.889515e-03 
1.460000e+00 5.621826e-01 1.460000e+00 8.978174e-03 
1.470000e+00 5.633158e-01 1.470000e+00 9.066842e-03 
1.480000e+00 5.644479e-01 1.480000e+00 9.155521e-03 
1.490000e+00 5.655789e-01 1.490000e+00 9.244211e-03 
1.500000e+00 5.667090e-01 1.500000e+00 9.332910e-03 
1.510000e+00 5.678380e-01 1.510000e+00 9.421620e-03 
1.520000e+00 5.689660e-01 1.520000e+00 9.510340e-03 
1.530000e+00 5.700931e-01 1.530000e+00 9.599069e-03 
1.540000e+00 5.712192e-01 1.540000e+00 9.687808e-03 
1.550000e+00 5.723443e-01 1.550000e+00 9.776557e-03 
1.560000e+00 5.734684e-01 1.560000e+00 9.865316e-03 
1.570000e+00 5.745916e-01 1.570000e+00 9.954084e-03 
1.580000e+00 5.757138e-01 1.580000e+00 1.004286e-02 
1.590000e+00 5.768351e-01 1.590000e+00 1.013165e-02 
1.600000e+00 5.779555e-01 1.600000e+00 1.022044e-02 
1.610000e+00 5.790750e-01 1.610000e+00 1.030925e-02 
1.620000e+00 5.801935e-01 1.620000e+00 1.039807e-02 
1.630000e+00 5.813111e-01 1.630000e+00 1.048689e-02 
1.640000e+00 5.824279e-01 1.640000e+00 1.057572e-02 
1.650000e+00 5.835437e-01 1.650000e+00 1.066456e-02 
1.660000e+00 5.846587e-01 1.660000e+00 1.075341e-02 
1.670000e+00 5.857727e-01 1.670000e+00 1.084227e-02 
1.680000e+00 5.868860e-01 1.680000e+00 1.093114e-02 
1.690000e+00 5.879983e-01 1.690000e+00 1.102002e-02 
1.700000e+00 5.891098e-01 1.700000e+00 1.110890e-02 
1.710000e+00 5.902205e-01 1.710000e+00 1.119780e-02 
1.720000e+00 5.913303e-01 1.720000e+00 1.128670e-02 
1.730000e+00 5.924392e-01 1.730000e+00 1.137561e-02 
1.740000e+00 5.935474e-01 1.740000e+00 1.146453e-02 
1.750000e+00 5.946547e-01 1.750000e+00 1.155345e-02 
1.760000e+00 5.957613e-01 1.760000e+00 1.164239e-02 
1.770000e+00 5.968670e-01 1.770000e+00 1.173133e-02 
1.780000e+00 5.979719e-01 1.780000e+00 1.182028e-02 
1.790000e+00 5.990760e-01 1.790000e+00 1.190924e-02 
1.800000e+00 6.001793e-01 1.800000e+00 1.199821e-02 
1.810000e+00 6.012819e-01 1.810000e+00 1.208718e-02 
1.820000e+00 6.023837e-01 1.820000e+00 1.217616e-02 
1.830000e+00 6.034847e-01 1.830000e+00 1.226515e-02 
1.840000e+00 6.045849e-01 1.840000e+00 1.235415e-02 
1.850000e+00 6.056844e-01 1.850000e+00 1.244316e-02 
1.860000e+00 6.067831e-01 1.860000e+00 1.253217e-02 
1.870000e+00 6.078811e-01 1.870000e+00 1.262119e-02 
1.880000e+00 6.089784e-01 1.880000e+00 1.271022e-02 
1.890000e+00 6.100749e-01 1.890000e+00 1.279925e-02 
1.900000e+00 6.111707e-01 1.900000e+00 1.288829e-02 
1.910000e+00 6.122658e-01 1.910000e+00 1.297734e-02 
1.920000e+00 6.133601e-01 1.920000e+00 1.306640e-02 
1.930000e+00 6.144538e-01 1.930000e+00 1.315546e-02 
1.940000e+00 6.155467e-01 1.940000e+00 1.324453e-02 
1.950000e+00 6.166389e-01 1.950000e+00 1.333361e-02 
1.960000e+00 6.177305e-01 1.960000e+00 1.342270e-02 
1.970000e+00 6.188213e-01 1.970000e+00 1.351179e-02 
1.980000e+00 6.199115e-01 1.980000e+00 1.360089e-02 
